Step 5/300: V_g=-0.189298: 15 iterations, reldev=0.996015, converged!
Step 6/300: V_g=-0.186622: 18 iterations, reldev=0.437982, converged!
Step 7/300: V_g=-0.183946: 41 iterations, reldev=2023.83, DIVERGED!!!
Step 8/300: V_g=-0.181271: 17 iterations, reldev=0.753931, converged!
Step 9/300: V_g=-0.178595: 15 iterations, reldev=0.900535, converged!
Step 10/300: V_g=-0.17592: 15 iterations, reldev=0.582758, converged!
Step 11/300: V_g=-0.173244: 41 iterations, reldev=17.8516, DIVERGED!!!
Step 12/300: V_g=-0.170569: 15 iterations, reldev=0.604933, converged!
Step 13/300: V_g=-0.167893: 22 iterations, reldev=0.382085, converged!
Step 14/300: V_g=-0.165217: 19 iterations, reldev=0.325262, converged!
Step 15/300: V_g=-0.162542: 35 iterations, reldev=0.304473, converged!
Step 16/300: V_g=-0.159866: 41 iterations, reldev=344.427, DIVERGED!!!
Step 17/300: V_g=-0.157191: 19 iterations, reldev=0.618509, converged!
Step 18/300: V_g=-0.154515: 27 iterations, reldev=0.644691, converged!
Step 19/300: V_g=-0.151839: 18 iterations, reldev=0.604866, converged!
Step 20/300: V_g=-0.149164: 17 iterations, reldev=0.448753, converged!
Step 21/300: V_g=-0.146488: 15 iterations, reldev=0.590302, converged!
Step 22/300: V_g=-0.143813: 19 iterations, reldev=0.387778, converged!
Step 23/300: V_g=-0.141137: 16 iterations, reldev=0.705743, converged!
Step 24/300: V_g=-0.138462: 25 iterations, reldev=0.73424, converged!
Step 25/300: V_g=-0.135786: 15 iterations, reldev=0.335504, converged!
Step 26/300: V_g=-0.13311: 17 iterations, reldev=0.58893, converged!
Step 27/300: V_g=-0.130435: 16 iterations, reldev=0.56834, converged!
Step 28/300: V_g=-0.127759: 22 iterations, reldev=0.566566, converged!
Step 29/300: V_g=-0.125084: 15 iterations, reldev=0.299074, converged!
Step 30/300: V_g=-0.122408: 15 iterations, reldev=0.591949, converged!
Step 31/300: V_g=-0.119732: 16 iterations, reldev=0.359246, converged!
Step 32/300: V_g=-0.117057: 15 iterations, reldev=0.69741, converged!
Step 33/300: V_g=-0.114381: 17 iterations, reldev=0.536792, converged!
Step 34/300: V_g=-0.111706: 15 iterations, reldev=0.354303, converged!
Step 35/300: V_g=-0.10903: 32 iterations, reldev=0.269305, converged!
Step 36/300: V_g=-0.106355: 41 iterations, reldev=1.4011, DIVERGED!!!
Step 37/300: V_g=-0.103679: 40 iterations, reldev=0.960257, converged!
Step 38/300: V_g=-0.101003: 17 iterations, reldev=0.304364, converged!
Step 39/300: V_g=-0.0983278: 16 iterations, reldev=0.67849, converged!
Step 40/300: V_g=-0.0956522: 15 iterations, reldev=0.274578, converged!
Step 41/300: V_g=-0.0929766: 15 iterations, reldev=0.586897, converged!
Step 42/300: V_g=-0.090301: 19 iterations, reldev=0.154397, converged!
Step 43/300: V_g=-0.0876254: 15 iterations, reldev=0.290031, converged!
Step 44/300: V_g=-0.0849498: 15 iterations, reldev=0.889439, converged!
Step 45/300: V_g=-0.0822742: 15 iterations, reldev=0.510829, converged!
Step 46/300: V_g=-0.0795987: 15 iterations, reldev=0.468519, converged!
Step 47/300: V_g=-0.0769231: 15 iterations, reldev=0.725227, converged!
Step 48/300: V_g=-0.0742475: 15 iterations, reldev=0.573282, converged!
Step 49/300: V_g=-0.0715719: 15 iterations, reldev=0.824488, converged!
Step 50/300: V_g=-0.0688963: 15 iterations, reldev=0.486458, converged!
Step 51/300: V_g=-0.0662207: 30 iterations, reldev=0.543627, converged!
Step 52/300: V_g=-0.0635452: 15 iterations, reldev=0.535454, converged!
Step 53/300: V_g=-0.0608696: 15 iterations, reldev=0.287454, converged!
Step 54/300: V_g=-0.058194: 19 iterations, reldev=0.0893912, converged!
Step 55/300: V_g=-0.0555184: 34 iterations, reldev=0.103268, converged!
Step 56/300: V_g=-0.0528428: 41 iterations, reldev=1044.93, DIVERGED!!!
Step 57/300: V_g=-0.0501672: 17 iterations, reldev=0.921259, converged!
Step 58/300: V_g=-0.0474916: 16 iterations, reldev=0.532203, converged!
Step 59/300: V_g=-0.0448161: 19 iterations, reldev=0.807566, converged!
Step 60/300: V_g=-0.0421405: 14 iterations, reldev=0.724962, converged!
Step 61/300: V_g=-0.0394649: 14 iterations, reldev=0.80012, converged!
Step 62/300: V_g=-0.0367893: 14 iterations, reldev=0.645595, converged!
Step 63/300: V_g=-0.0341137: 15 iterations, reldev=0.862784, converged!
Step 64/300: V_g=-0.0314381: 14 iterations, reldev=0.70864, converged!
Step 65/300: V_g=-0.0287625: 14 iterations, reldev=0.891004, converged!
Step 66/300: V_g=-0.026087: 14 iterations, reldev=0.464441, converged!
Step 67/300: V_g=-0.0234114: 15 iterations, reldev=0.204351, converged!
Step 68/300: V_g=-0.0207358: 14 iterations, reldev=0.448844, converged!
Step 69/300: V_g=-0.0180602: 14 iterations, reldev=0.520629, converged!
Step 70/300: V_g=-0.0153846: 14 iterations, reldev=0.721952, converged!
Step 71/300: V_g=-0.012709: 15 iterations, reldev=0.417414, converged!
Step 72/300: V_g=-0.0100334: 16 iterations, reldev=0.0630253, converged!
Step 73/300: V_g=-0.00735786: 29 iterations, reldev=0.817702, converged!
Step 74/300: V_g=-0.00468227: 41 iterations, reldev=747351, DIVERGED!!!
Step 75/300: V_g=-0.00200669: 22 iterations, reldev=0.504446, converged!
Step 76/300: V_g=0.000668896: 16 iterations, reldev=0.0891859, converged!
Step 77/300: V_g=0.00334448: 14 iterations, reldev=0.541247, converged!
Step 78/300: V_g=0.00602007: 14 iterations, reldev=0.353885, converged!
