Step 254/300: V_g=0.476923: 14 iterations, reldev=0.189711, converged!
Step 255/300: V_g=0.479599: 14 iterations, reldev=0.2123, converged!
Step 256/300: V_g=0.482274: 14 iterations, reldev=0.505387, converged!
Step 257/300: V_g=0.48495: 13 iterations, reldev=0.988532, converged!
Step 258/300: V_g=0.487625: 14 iterations, reldev=0.179073, converged!
Step 259/300: V_g=0.490301: 14 iterations, reldev=0.209945, converged!
Step 260/300: V_g=0.492977: 14 iterations, reldev=0.150008, converged!
Step 261/300: V_g=0.495652: 14 iterations, reldev=0.298015, converged!
Step 262/300: V_g=0.498328: 14 iterations, reldev=0.282701, converged!
Step 263/300: V_g=0.501003: 14 iterations, reldev=0.503744, converged!
Step 264/300: V_g=0.503679: 14 iterations, reldev=0.234964, converged!
Step 265/300: V_g=0.506355: 14 iterations, reldev=0.222551, converged!
Step 266/300: V_g=0.50903: 23 iterations, reldev=0.264801, converged!
Step 267/300: V_g=0.511706: 14 iterations, reldev=0.318144, converged!
Step 268/300: V_g=0.514381: 14 iterations, reldev=0.247803, converged!
Step 269/300: V_g=0.517057: 14 iterations, reldev=0.240816, converged!
Step 270/300: V_g=0.519732: 14 iterations, reldev=0.510751, converged!
Step 271/300: V_g=0.522408: 14 iterations, reldev=0.42823, converged!
Step 272/300: V_g=0.525084: 14 iterations, reldev=0.279034, converged!
Step 273/300: V_g=0.527759: 14 iterations, reldev=0.398953, converged!
Step 274/300: V_g=0.530435: 14 iterations, reldev=0.368199, converged!
Step 275/300: V_g=0.53311: 14 iterations, reldev=0.360132, converged!
Step 276/300: V_g=0.535786: 15 iterations, reldev=0.199604, converged!
Step 277/300: V_g=0.538462: 14 iterations, reldev=0.350949, converged!
Step 278/300: V_g=0.541137: 14 iterations, reldev=0.378396, converged!
Step 279/300: V_g=0.543813: 14 iterations, reldev=0.442733, converged!
Step 280/300: V_g=0.546488: 14 iterations, reldev=0.483303, converged!
Step 281/300: V_g=0.549164: 14 iterations, reldev=0.462202, converged!
Step 282/300: V_g=0.551839: 14 iterations, reldev=0.633572, converged!
Step 283/300: V_g=0.554515: 14 iterations, reldev=0.481098, converged!
Step 284/300: V_g=0.557191: 14 iterations, reldev=0.524582, converged!
Step 285/300: V_g=0.559866: 14 iterations, reldev=0.557819, converged!
Step 286/300: V_g=0.562542: 14 iterations, reldev=0.578144, converged!
Step 287/300: V_g=0.565217: 15 iterations, reldev=0.757964, converged!
Step 288/300: V_g=0.567893: 14 iterations, reldev=0.700014, converged!
Step 289/300: V_g=0.570569: 14 iterations, reldev=0.827212, converged!
Step 290/300: V_g=0.573244: 14 iterations, reldev=0.644279, converged!
Step 291/300: V_g=0.57592: 15 iterations, reldev=0.164932, converged!
Step 292/300: V_g=0.578595: 14 iterations, reldev=0.801135, converged!
Step 293/300: V_g=0.581271: 14 iterations, reldev=0.722047, converged!
Step 294/300: V_g=0.583946: 14 iterations, reldev=0.900258, converged!
Step 295/300: V_g=0.586622: 14 iterations, reldev=0.97553, converged!
Step 296/300: V_g=0.589298: 14 iterations, reldev=0.826152, converged!
Step 297/300: V_g=0.591973: 14 iterations, reldev=0.863025, converged!
Step 298/300: V_g=0.594649: 15 iterations, reldev=0.132298, converged!
Step 299/300: V_g=0.597324: 15 iterations, reldev=0.217538, converged!
Step 300/300: V_g=0.6: 14 iterations, reldev=0.831555, converged!
Step 1/300: V_g=-0.2: 13 iterations, reldev=0.994553, converged!
Step 2/300: V_g=-0.197324: 13 iterations, reldev=0.91835, converged!
Step 3/300: V_g=-0.194649: 14 iterations, reldev=0.288252, converged!
Step 4/300: V_g=-0.191973: 13 iterations, reldev=0.539249, converged!
Step 5/300: V_g=-0.189298: 13 iterations, reldev=0.865814, converged!
Step 6/300: V_g=-0.186622: 13 iterations, reldev=0.877658, converged!
